feature,classifier,train_accuracy,train_balanced_accuracy,train_auc,val_accuracy,val_balanced_accuracy,val_auc,test_accuracy,test_balanced_accuracy,test_auc,elapsed_s
luminance_mean,LogisticRegression,0.7618811881188119,0.7619364350827524,0.854935491049328,0.5326732673267327,0.5328137254901961,0.5412950980392157,0.5084158415841584,0.5120462034852122,0.503181329907941,1.9
luminance_mean,SVM,0.6386138613861386,0.639387074290431,0.717180133929228,0.5064356435643564,0.5068921568627451,0.5271161764705882,0.5321782178217822,0.5257946199455724,0.5318388519300755,4.9
luminance_mean,LDA,0.7787128712871287,0.7787182712130585,0.861828993687818,0.5044554455445545,0.505,0.4890245098039216,0.5168316831683168,0.5161980503174942,0.5154270421887392,0.1
contrast_rms,LogisticRegression,0.7599009900990099,0.7600719170561847,0.8515828418609028,0.5188118811881188,0.5192184019826207,0.5131364306553314,0.5133663366336634,0.5109457917093203,0.4907819235098701,2.2
contrast_rms,SVM,0.6400990099009901,0.641300937980362,0.7123307949305141,0.5079207920792079,0.5079798914577909,0.5271664326944192,0.5316831683168317,0.5337306490012198,0.5349475017747812,4.7
contrast_rms,LDA,0.7742574257425743,0.7743259246478652,0.861785142892995,0.5044554455445545,0.5048938105844339,0.5098675181165103,0.5113861386138614,0.5095769549068289,0.5132446727146505,0.1
sham_random,LogisticRegression,0.7287128712871287,0.7287128712871287,0.8161346926771884,0.5014851485148515,0.5013054510181243,0.509940455348377,0.505940594059406,0.5076695540281831,0.5192729419703104,2.5
sham_random,SVM,0.6217821782178218,0.6217821782178219,0.3221644936770905,0.5014851485148515,0.4960493187821152,0.4885074212585489,0.5153465346534654,0.507575400935254,0.4923735994727426,4.8
sham_random,LDA,0.747029702970297,0.747029702970297,0.838355063229095,0.48514851485148514,0.4863702478787647,0.4990574467104302,0.49603960396039604,0.4956061889966419,0.5037656333364717,0.1
