shot_id,scene_id
0,0
1,0
2,1
3,1
4,1
5,1
6,2
7,3
8,4
9,4
10,3
11,3
12,5
13,6
14,7
15,8
16,9
17,9
18,10
19,11
20,12
21,12
22,12
23,13
24,14
25,15
26,16
27,16
28,17
29,18
30,19
31,19
32,20
33,21
34,22
35,23
36,23
37,24
38,24
39,25
40,26
41,27
42,28
43,29
44,30
45,31
46,32
47,32
48,33
49,33
50,33
51,34
52,33
53,35
