run_id,run_name,created_at,state,cfg.data.norm_mode,cfg.data.n_windows,cfg.data.window_size_seconds,cfg.data.batch_size,cfg.loss.regularizer,cfg.loss.std_coeff,cfg.loss.cov_coeff,cfg.loss.use_projector,cfg.loss.pred_loss_type,cfg.model.encoder_depth,cfg.model.encoder_embed_dim,cfg.model.patch_size,cfg.model.predictor_depth,cfg.optim.lr,cfg.optim.epochs,cfg.optim.warmup_epochs,cfg.sanity_checks.enabled,cfg.logging.wandb_group,val/reg_position_in_movie_corr,val/reg_contrast_rms_corr,val/reg_luminance_mean_corr,val/reg_narrative_event_score_corr,val/reg_loss,sanity/embedding_variance_mean,sanity/embedding_variance_min,sanity/embedding_variance_max,sanity/embedding_variance_std,sanity/embedding_l2_mean,sanity/cosim_random_pairs_mean,sanity/cosim_random_pairs_max,sanity/loss_trend,sanity/loss_rolling_mean,sanity/pred_loss_short,sanity/pred_loss_long,sanity/grad_norm,sanity/linear_probe_acc,train_step/jepa_loss,train_step/vc_loss,train_step/pred_loss,train_step/reg_loss,train_step/cls_loss,val_corr_weighted
o0t5ti6r,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_noproj_nw4_ws4s,2026-04-13T19:58:46Z,finished,,4,4,32,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.0784045159816742,0.06127177178859711,0.06469754129648209,0.000540433800779283,0.8907364487648011,0.10383601486682892,0.0035834843292832375,0.3685843348503113,0.0894002839922905,2.9704582691192627,0.7653287053108215,0.9999970197677612,0.0016713741049170503,0.03983759418129921,0.1241610422730446,0.1218828409910202,0.055689696475348195,0.5145630836486816,0.027254967018961903,0.0011206212220713496,0.026134345680475235,0.7616941332817078,0.6926291584968567,0.06136619210010394
k0gocmld,eeg_jepa_bs64_lr0.0005_std0.25_cov0.25_noproj_nw2_ws1s,2026-04-13T19:58:44Z,finished,,2,1,64,vc,0.25,0.25,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.029985476285219193,0.0194952841848135,-0.04537190496921539,-0.08133506774902344,1.036326992511749,0.03912873566150665,0.00035886457771994174,0.31749263405799866,0.052155476063489914,2.271500825881958,0.8834076523780823,0.9999878406524658,0.0012292883545160296,0.03357990320771933,0.12418922781944276,0.1281503438949585,0.06000592105900445,0.4660194218158722,0.021380826830863953,0.0057692090049386024,0.015611618757247925,0.7428667545318604,0.6929868459701538,-0.006900850124657154
15uvnw8v,eeg_jepa_bs64_lr0.0005_std1.0_cov1.0_noproj_nw2_ws1s,2026-04-13T19:58:35Z,finished,,2,1,64,vc,1.0,1.0,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.026724107563495636,0.02503352053463459,-0.02735627256333828,-0.06931805610656738,1.0362605690956117,0.027033330872654915,0.0011842878302559257,0.1734631210565567,0.0281915795058012,2.022357940673828,0.8831075429916382,0.999983847141266,0.001038819923996924,0.03314520049840212,0.11302540451288225,0.11655797809362411,0.1789697231790703,0.4660194218158722,0.03716832399368286,0.02103836089372635,0.016129961237311363,0.7428554892539978,0.6929686665534973,0.0003886010497808458
5aogf3q5,eeg_jepa_bs64_lr0.0005_std1.0_cov1.0_noproj_nw1_ws1s,2026-04-13T19:58:21Z,finished,,1,1,64,vc,1.0,1.0,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,-0.18680457770824432,-0.0679192841053009,-0.02795593813061714,0.0409836582839489,0.9816365242004396,0.024589652195572853,0.0026484441477805376,0.10289185494184494,0.01932761073112488,2.3317313194274902,0.8490750789642334,0.9999542832374572,-0.0009393440559506416,0.04124690620228648,0.24356448650360107,0.2078644782304764,0.2689925651048144,0.5631067752838135,0.0492476224899292,0.025119056925177578,0.024128563702106476,1.0544029474258425,0.6929956078529358,-0.08070557415485383
o7ccp0vm,eeg_jepa_bs64_lr0.0005_std0.1_cov0.1_nw2_ws1s,2026-04-13T19:57:52Z,finished,,2,1,64,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.05706965923309326,-0.006798930000513792,-0.05749015882611275,0.000908976886421442,1.0991427898406982,0.002649314468726516,0.000272139412118122,0.009380758740007876,0.0022086892277002335,5.047255516052246,0.9940255880355836,0.9999996423721312,-0.003868717327713968,0.05908985264599323,0.13911810517311096,0.13178499042987823,0.03863093333761312,0.4757281541824341,0.053481921553611755,0.005189265124499798,0.04829265549778938,1.0866652727127075,0.6928794384002686,-0.002074931189417838
hlcrv0lf,eeg_jepa_bs64_lr0.0005_std0.1_cov0.1_noproj_nw1_ws1s,2026-04-13T19:57:46Z,finished,,1,1,64,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,-0.14266054332256317,-0.12560267746448517,-0.015492883510887625,0.0787234902381897,0.9824381709098816,0.05779722332954407,0.0030487373005598783,0.28962165117263794,0.05655072256922722,2.68923020362854,0.808280885219574,0.9999178647994996,-0.000953078493475909,0.03780492454767227,0.2642832398414612,0.23428943753242493,0.06570927794171648,0.553398072719574,0.022328121587634087,0.0030030461493879557,0.019325075671076775,1.05537211894989,0.6930575370788574,-0.07725448226556181
92m3k1qz,eeg_jepa_bs64_lr0.0005_std0.25_cov0.25_nw1_ws1s,2026-04-13T19:57:34Z,finished,,1,1,64,vc,0.25,0.25,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,-0.009481534361839294,-0.05095454305410385,0.043563179671764374,-0.0561283640563488,0.8831574320793152,0.01847064308822155,0.0012099541490897536,0.11272360384464264,0.01751856692135334,3.6247591972351074,0.9289501905441284,0.9999827146530152,-0.006648211032152185,0.07333284057676792,0.094378262758255,0.13205721974372864,0.0693847567068414,0.5145630836486816,0.06993778049945831,0.01347298827022314,0.0564647912979126,1.1379743814468384,0.6934473514556885,-0.010674705728888512
hau5ymy6,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_nw4_ws4s,2026-04-13T01:47:04Z,finished,,4,4,32,vc,0.1,0.1,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,-0.005283289588987827,-0.00312014389783144,-0.004351845011115074,-0.05431262776255608,0.9110600113868712,0.1027531698346138,0.0009191347053274512,0.43609926104545593,0.10741493850946426,5.832623481750488,0.8217738270759583,0.999997615814209,0.000920304395258434,0.0673732222430408,0.23546123504638672,0.25175976753234863,0.030200289584202167,0.582524299621582,0.025708891451358795,0.003611118765547872,0.022097771987318993,0.8380696773529053,0.6938477754592896,-0.00925784632563591
94gmwdmh,eeg_jepa_bs32_lr0.0005_std0.25_cov0.25_nw4_ws4s,2026-04-13T01:43:24Z,finished,,4,4,32,vc,0.25,0.25,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.008567476645112038,0.03063688613474369,0.006881017237901688,-0.046977318823337555,0.9105331808328628,0.06626465916633606,0.00013778202992398292,0.3225306272506714,0.06924973428249359,3.629946231842041,0.7511657476425171,0.9999958872795104,0.0003087823465466599,0.07207519335672259,0.2466932088136673,0.2661029100418091,0.031614911649457095,0.5242718458175659,0.031989388167858124,0.00795045681297779,0.024038931354880333,0.8385286331176758,0.693993091583252,0.00912788212299347
5d9l02gt,eeg_jepa_bs32_lr0.0005_std1.0_cov1.0_nw4_ws4s,2026-04-13T01:42:04Z,finished,,4,4,32,vc,1.0,1.0,false,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.022761844098567963,0.058579221367836,0.03409783914685249,-0.04218434169888496,0.9095780730247498,0.010154972784221172,9.032652451423928e-05,0.06436461955308914,0.011637920513749124,1.8622589111328125,0.867067813873291,0.9999916553497314,0.00014047808945177875,0.07732356306165457,0.26036709547042847,0.2815333902835846,0.03856574558821229,0.5242718458175659,0.055033765733242035,0.029328705742955208,0.025705059990286827,0.8389543294906616,0.6942819952964783,0.03041323721408844
kdd71fdx,eeg_jepa_bs32_lr0.0005_std0.1_cov0.1_nw4_ws4s,2026-04-12T17:42:22Z,finished,,4,4,32,vc,0.1,0.1,true,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,-0.006691912654787302,-0.0038418443873524666,-0.0031690415926277637,-0.0452318973839283,0.9110126823186876,0.10137245059013368,0.0010060644708573818,0.4253354966640472,0.1055249348282814,5.761660575866699,0.820795476436615,0.999997615814209,0.00092517811805011,0.0674530448950827,0.23552365601062775,0.25179699063301086,0.0302559779778114,0.5922330021858215,0.025661563500761982,0.003610070561990142,0.0220514927059412,0.8379190564155579,0.6938517689704895,-0.008634029328823088
sk0qnzwd,eeg_jepa_bs32_lr0.0005_std0.25_cov0.25_nw4_ws4s,2026-04-12T17:42:16Z,finished,,4,4,32,vc,0.25,0.25,true,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.01195702701807022,0.03753319010138512,0.006370113231241703,-0.04770965501666069,0.9104142725467682,0.06608901917934418,0.00014260088209994137,0.32257187366485596,0.06920572370290756,3.6049513816833496,0.7493162155151367,0.9999959468841552,0.0003039740771055288,0.07199993256479502,0.2468794584274292,0.26619601249694824,0.03170376075899901,0.5339806079864502,0.031964920461177826,0.00794790405780077,0.02401701547205448,0.8385541439056396,0.6941975355148315,0.011987133603543042
udzfafy1,eeg_jepa_bs64_lr0.0005_std0.25_cov0.25_nw2_ws1s,2026-04-12T17:42:14Z,finished,,2,1,64,vc,0.25,0.25,true,smooth_l1,2,64,50,2,0.0005,100,5,True,sweep_vicreg,0.05110127478837967,-0.007737458683550358,-0.05171849951148033,-0.002655759919434786,1.0992400169372558,0.0027524102479219437,0.00029753605485893786,0.010312793776392937,0.0021477167028933764,3.618629217147827,0.9870662689208984,0.9999991655349731,-0.004037576466798788,0.06200450163334608,0.14635588228702545,0.14123938977718353,0.04622066684973306,0.4660194218158722,0.06216145306825638,0.01201201882213354,0.05014943331480026,1.0856950283050537,0.6929739117622375,-0.0027719810139387848
