target,r2_clip,r2_broadcast_shot,r2_broadcast_scene,r2_shot_pca20,r2_scene_pca20
luminance_mean,0.9215414806950915,0.954281560808863,0.9402406343126757,0.3413509086663623,0.2665010196343083
contrast_rms,0.8172451810107232,0.8690555925221106,0.7534116032864997,-0.009992259063206221,-0.02576988936640916
saturation_mean,0.9309561964302786,0.958436463473524,0.9083316638473695,0.0361855189653121,-0.06870338121701976
edge_density,0.8644431036784248,0.7967786112785029,0.6426610416627853,-0.021379507194782633,-0.2860599091300851
spatial_freq_energy,0.7404068029269586,0.8159120203452211,0.818826779937682,0.3466473085502795,0.2836742073256334
entropy,0.8238291660901698,0.9010499839830347,0.8140066630479088,0.10226630769968115,-0.2976087632858554
motion_energy,0.46438118374171894,0.2892175319647792,0.27368061637992713,0.2168671560381164,0.17779613698739466
n_objects,0.851262592834078,0.8203114789006198,0.788262742110241,-0.8365411834129413,-0.07257092621435687
n_faces,0.6893277387180019,0.5927626180044162,0.4830881738038725,-1.8950323405118688,-0.5510396298047665
face_area_frac,0.7858947229891591,0.7650248093871117,0.7321377976662381,-5.20310210446512,-2.3036958418852076
depth_mean,0.8562550415035292,0.8570625861609118,0.7257122947858675,-0.23218118498831714,-0.01496946811747708
depth_std,0.8196413652001091,0.8412766866848422,0.6482432493429439,-0.6388974680197546,-1.2932193001554588
scene_natural_score,0.8630844125241535,0.8710509486645442,0.8518747685696313,-0.15816557336759104,0.12142908392189541
scene_open_score,0.7635709695113327,0.8309980250860338,0.7079861049934868,-0.6359860354446673,-0.14331146263679204
position_in_movie,0.9976240073057433,0.9952999048561761,0.9259811248708681,0.44440612686133996,0.5579208903863747
narrative_event_score,0.31911141927834413,0.129711974106184,0.10682706678891848,-0.2920899047366466,0.04897678657542119
