shot_id,n_clips,within_cos_mean,within_cos_min,nearest_other_shot,nearest_other_cos,margin
0,8,0.8612008101461761,0.5841497954446829,28,0.2945423824447409,0.5666584277014353
1,8,0.946877810786895,0.8198236865317148,2,0.9257243398310139,0.02115347095588116
2,7,0.9479626124272518,0.8646195304832428,1,0.9257243398310139,0.022238272596237896
3,16,0.948396888116068,0.8439760677547645,4,0.9113653259215615,0.03703156219450654
4,4,0.9787298292906904,0.9588374301061551,3,0.9113653259215615,0.06736450336912891
5,2,0.9959836780495558,0.9959836780495558,4,0.9035900648749261,0.09239361317462969
6,4,0.9367115739363618,0.8959251960587357,5,0.7633538149757655,0.17335775896059635
7,4,0.9516012376939873,0.8938245956232381,8,0.7460759626688778,0.20552527502510953
8,4,0.9900238714376758,0.9855102533994783,7,0.7460759626688778,0.24394790876879802
9,6,0.9169788698182134,0.760533305959705,10,0.8758285925583927,0.04115027725982068
10,9,0.9730754632909004,0.928897761486585,13,0.9396533515444581,0.033422111746442384
11,11,0.8594326672564605,0.7515144319014292,12,0.7872435371988517,0.07218913005760885
12,4,0.974582229519388,0.953525144724808,13,0.8359504180908826,0.13863181142850545
13,4,0.9911024160161493,0.9843538812556286,10,0.9396533515444581,0.051449064471691286
14,9,0.9744793103192794,0.9304562736789764,13,0.813482998663227,0.16099631165605233
15,4,0.7533074976939184,0.5646467559974967,5,0.564286683735503,0.1890208139584154
16,14,0.8678738471009465,0.6576038519621252,22,0.8921188805108495,-0.024245033409903027
17,3,0.8046415276442301,0.6089229216268055,18,0.8993989503356484,-0.09475742269141829
18,7,0.913139043451111,0.8261118958250898,17,0.8993989503356484,0.013740093115462537
19,18,0.9435017947737142,0.7624471131355426,23,0.9284640131329613,0.015037781640752867
20,16,0.522574681434785,-0.39854413386889226,14,0.5050658856088796,0.017508795825905477
21,5,0.6955384734393271,0.004204699032163279,22,0.7657485774507914,-0.07021010401146432
22,10,0.908484491417501,0.8054985025469286,16,0.8921188805108495,0.01636561090665145
23,7,0.9559253430497189,0.8380093893496972,19,0.9284640131329613,0.027461329916757538
24,17,0.9471008674033196,0.8664442931426274,23,0.9068678817005856,0.040232985702733925
25,26,0.7557618127696994,-0.5219437111597153,28,0.9114570094522861,-0.1556951966825867
26,6,0.8569689870601942,0.4934760635970854,25,0.7644075619486225,0.09256142511157173
27,6,0.9624441841826923,0.8929702509783171,23,0.8454379738298113,0.11700621035288095
28,44,0.9290148421624554,-0.8472913805010781,25,0.9114570094522861,0.017557832710169308
29,34,0.9101053340703262,0.6008456777727065,25,0.6849075243881484,0.22519780968217784
30,9,0.8215151979299855,0.36454606661599726,31,0.8504264832241879,-0.028911285294202393
31,3,0.9837911182438345,0.9740652359573749,30,0.8504264832241879,0.13336463501964657
32,4,0.9661956543135379,0.9257067899568715,31,0.8489942704132745,0.11720138390026347
33,5,0.918702964954063,0.8693621378647404,8,0.7094151482830502,0.20928781667101282
34,3,0.9846538679250418,0.9767984801293109,13,0.9206440420844083,0.06400982584063353
