feature,LDA,LogisticRegression,SVM
entropy,0.4971083812818431,0.49717211651978144,0.5225397217613674
face_area_frac,0.48448101076386435,0.48816343935242557,0.500648845454853
n_faces,0.48448101076386435,0.48816343935242557,0.500648845454853
scene_natural_score,0.5046017068507942,0.5109528025258312,0.52203094913103
scene_open_score,0.5019544153270205,0.5022729417686476,0.4926286689527165
sham_random,0.4956061889966419,0.5076695540281831,0.507575400935254
