shot_number,boundary_frame,timestamp_s
1,95,3.8
2,206,8.24
3,282,11.28
4,483,19.32
5,538,21.52
6,563,22.52
7,608,24.32
8,665,26.6
9,710,28.4
10,791,31.64
11,896,35.84
12,1033,41.32
13,1085,43.4
14,1134,45.36
15,1255,50.2
16,1301,52.04
17,1475,59.0
18,1514,60.56
19,1596,63.84
20,1819,72.76
21,2027,81.08
22,2091,83.64
23,2212,88.48
24,2302,92.08
25,2518,100.72
26,2835,113.4
27,2909,116.36
28,2983,119.32
29,3537,141.48
30,3964,158.56
31,4078,163.12
32,4113,164.52
33,4162,166.48
34,4221,168.84
