shot_number,boundary_frame,timestamp_s
1,95,3.8
2,206,8.24
3,282,11.28
4,483,19.32
5,538,21.52
6,563,22.52
7,608,24.32
8,665,26.6
9,710,28.4
10,896,35.84
11,1033,41.32
12,1134,45.36
13,1255,50.2
14,1301,52.04
15,1475,59.0
16,1514,60.56
17,1596,63.84
18,1819,72.76
19,2027,81.08
20,2091,83.64
21,2212,88.48
22,2302,92.08
23,2518,100.72
24,2835,113.4
25,2909,116.36
26,2983,119.32
27,4113,164.52
28,4162,166.48
29,4221,168.84
