shot_id,n_clips,within_cos_mean,within_cos_min,nearest_other_shot,nearest_other_cos,margin
0,174,0.9021069967393689,0.7476525393223163,6,0.49844137331582145,0.40366562342354745
1,85,0.9381117735364229,0.7974787207371649,44,0.6073154945146247,0.3307962790217982
2,125,0.9684055625394702,0.9328536277743793,10,0.32352173156989267,0.6448838309695775
3,120,0.9469083955928964,0.8670744486382318,28,0.7548349009605575,0.19207349463233891
4,101,0.8962291356312255,0.7127791814035105,3,0.45994640825996946,0.43628272737125606
5,225,0.808487075359861,0.16955800613316066,3,0.6800399461182173,0.1284471292416437
6,51,0.8864958544870811,0.7510244091226679,0,0.49844137331582145,0.3880544811712597
7,76,0.9322284903121986,0.8415125537570588,9,0.7582440485775247,0.17398444173467387
8,79,0.9163045455283658,0.8073798954954908,10,0.37549470325060186,0.540809842277764
9,84,0.946931481359129,0.7233746215736132,11,0.8358641685421537,0.11106731281697524
10,56,0.9562657869067956,0.8250082957308391,8,0.37549470325060186,0.5807710836561938
11,46,0.9439266039455865,0.8673610644792452,9,0.8358641685421537,0.10806243540343274
12,169,0.7353537116877632,0.219647160343816,41,0.5487578282780712,0.18659588340969202
13,49,0.8660228887113314,0.6316489043810937,14,0.7764564974103959,0.08956639130093547
14,95,0.9071730966160026,0.7960636479100672,13,0.7764564974103959,0.13071659920560674
15,35,0.8497293526331036,0.6048306004296633,32,0.4784436629399642,0.37128568969313935
16,26,0.7832022480547044,0.4651052907765785,13,0.6677689265405857,0.11543332151411867
17,46,0.780119326242608,0.6057908677961888,19,0.6164590550843674,0.16366027115824067
18,53,0.867960639390278,0.5870751661899138,42,0.7836680584107606,0.08429258097951742
19,112,0.7830426833834631,0.4576142103887146,26,0.8118398615032018,-0.028797178119738698
20,40,0.8394444471294165,0.5526578968590473,52,0.6299899038034736,0.20945454332594282
21,22,0.8002779674729872,0.4883874334334918,48,0.32211515387386114,0.47816281359912605
22,36,0.7867810752193252,0.6556555164939746,34,0.8111405639260589,-0.024359488706733767
23,55,0.920606682610067,0.8668770650107098,35,0.937822885282777,-0.017216202672710068
24,108,0.8574957519665454,0.4772443739718483,19,0.7046547686533368,0.1528409833132086
25,63,0.9324098161860788,0.4355806524176418,51,0.5747317652786974,0.35767805090738136
26,61,0.8407786220916641,0.5864565621196153,19,0.8118398615032018,0.028938760588462342
27,134,0.677609402946846,0.5252969243212848,43,0.5340867203464104,0.14352268260043566
28,107,0.8765838104762906,0.6537241045898198,35,0.8915115512058146,-0.014927740729523964
29,73,0.8490293054894487,0.7705781578823585,49,0.6576898599302253,0.19133944555922333
30,13,0.9429723692266343,0.8764215047905104,42,0.8986172711606036,0.04435509806603066
31,17,0.8838013522089198,0.7733280753382952,51,0.6378548409962687,0.2459465112126511
32,19,0.7790368963088391,0.42540952055854103,20,0.48433416720773204,0.29470272910110706
33,36,0.9660344603535054,0.9063524251252912,38,0.4568018543387647,0.5092326060147407
34,69,0.7008211359380616,0.4027679916181856,36,0.8670150232114423,-0.1661938872733807
35,72,0.9123144107422068,0.8423573687517832,23,0.937822885282777,-0.02550847454057026
36,55,0.7568819278895105,0.5057043296877816,34,0.8670150232114423,-0.11013309532193183
37,24,0.9771155513049482,0.9561921698766183,35,0.9082357399585279,0.0688798113464203
38,54,0.7041178378666829,0.48533709962719335,41,0.7322108303585524,-0.028092992491869473
39,65,0.9266114343315031,0.8969415294287968,35,0.9172168505444382,0.009394583787064814
40,81,0.919078371851708,0.7881198209360389,38,0.7228649486036892,0.19621342324801883
41,151,0.753736546946958,0.46800535088647194,38,0.7322108303585524,0.02152571658840563
42,116,0.8965224981814073,0.7965850455056621,35,0.922342159484411,-0.025819661303003727
43,86,0.8190057028079576,0.6815762886005823,27,0.5340867203464104,0.28491898246154723
44,41,0.9728077216392467,0.8825527367152015,42,0.8840026773002915,0.0888050443389552
45,103,0.8716260422944687,0.6674410977109599,34,0.7026404800275683,0.16898556226690042
46,113,0.7473223888556617,0.4433204044259154,34,0.7673766492457724,-0.020054260390110712
47,88,0.8064110571817664,0.4511249395820292,49,0.6996007398105737,0.10681031737119273
48,71,0.9711864218823146,0.9274211303752318,50,0.7623185229231824,0.20886789895913227
49,75,0.893246058210767,0.8059644734408432,47,0.6996007398105737,0.19364531840019328
50,44,0.9832609719989924,0.9625490308227139,42,0.7845270775384953,0.19873389446049716
51,67,0.8724204888257784,0.6417360244765732,31,0.6378548409962687,0.23456564782950973
52,160,0.9070402214296924,0.7720651691403432,26,0.672046551980803,0.23499366944888944
53,751,0.7297471332429022,0.22855828233612874,8,0.33601475460962915,0.39373237863327304
